team_a,team_b,latitude_a,longitude_a,latitude_b,longitude_b,travel_distance,travel_duration
tottenham-hotspur,luton-town,51.6032123,-0.0657389,51.8786707,-0.4200255,52903.0,3149.0
tottenham-hotspur,arsenal-fc,51.6032123,-0.0657389,51.5548527,-0.1091085,7015.0,1363.0
tottenham-hotspur,aston-villa,51.6032123,-0.0657389,53.19753,-3.040541,341962.0,13627.0
tottenham-hotspur,chelsea-fc,51.6032123,-0.0657389,51.4820834,-0.1913183,33880.0,3611.0
tottenham-hotspur,crystal-palace,51.6032123,-0.0657389,51.4198825,-0.0785415,41918.0,4545.0
tottenham-hotspur,derby-county,51.6032123,-0.0657389,53.1046782,-1.5623885,233771.0,10435.0
tottenham-hotspur,nottingham-forest,51.6032123,-0.0657389,53.0113911,-1.1868616,213549.0,9346.0
tottenham-hotspur,charlton-athletic,51.6032123,-0.0657389,51.4866871,0.0358469,28438.0,2460.0
tottenham-hotspur,everton-fc,51.6032123,-0.0657389,53.3573617,-2.8137713,327224.0,13357.0
tottenham-hotspur,norwich-city,51.6032123,-0.0657389,52.6308859,1.297355,175926.0,7589.0
tottenham-hotspur,millwall-fc,51.6032123,-0.0657389,51.48586599999999,-0.05092439999999999,33208.0,3126.0
tottenham-hotspur,sheffield-wednesday,51.6032123,-0.0657389,53.41143169999999,-1.5006631,274567.0,11687.0
tottenham-hotspur,sheffield-united,51.6032123,-0.0657389,53.3703762,-1.4715037,272131.0,11407.0
tottenham-hotspur,sunderland-afc,51.6032123,-0.0657389,54.913899,-1.387941,441624.0,17075.0
tottenham-hotspur,leeds-united,51.6032123,-0.0657389,53.77780199999999,-1.572179,318811.0,12633.0
tottenham-hotspur,west-ham-united,51.6032123,-0.0657389,51.53195669999999,0.0394024,19050.0,1729.0
tottenham-hotspur,oldham-athletic,51.6032123,-0.0657389,53.55507,-2.128324,365496.0,14295.0
tottenham-hotspur,notts-county,51.6032123,-0.0657389,52.9546639,-1.1580059,204260.0,9052.0
tottenham-hotspur,middlesbrough-fc,51.6032123,-0.0657389,54.5780389,-1.2176404,402206.0,15356.0
tottenham-hotspur,blackburn-rovers,51.6032123,-0.0657389,53.7285943,-2.4891959,361177.0,14547.0
tottenham-hotspur,ipswich-town,51.6032123,-0.0657389,52.056736,1.14822,123829.0,5968.0
tottenham-hotspur,swindon-town,51.6032123,-0.0657389,51.55577390000001,-1.7797176,143179.0,7519.0
tottenham-hotspur,newcastle-united,51.6032123,-0.0657389,54.9750986,-1.623124,460956.0,17887.0
tottenham-hotspur,leicester-city,51.6032123,-0.0657389,52.6368778,-1.1397592,162422.0,7552.0
tottenham-hotspur,bolton-wanderers,51.6032123,-0.0657389,53.5813723,-2.5369749,344461.0,13973.0
tottenham-hotspur,bradford-city,51.6032123,-0.0657389,53.795984,-1.759398,332737.0,13488.0
tottenham-hotspur,birmingham-city,51.6032123,-0.0657389,52.48624299999999,-1.890401,188320.0,8066.0
tottenham-hotspur,west-bromwich-albion,51.6032123,-0.0657389,52.517664,-1.995159,197940.0,9071.0
tottenham-hotspur,fulham-fc,51.6032123,-0.0657389,51.4744751,-0.220554,31387.0,3544.0
tottenham-hotspur,portsmouth-fc,51.6032123,-0.0657389,50.7963372,-1.0637899,151051.0,7344.0
tottenham-hotspur,wolverhampton-wanderers,51.6032123,-0.0657389,52.5683233,-2.1270034,228153.0,9962.0
tottenham-hotspur,wigan-athletic,51.6032123,-0.0657389,53.54703379999999,-2.6545208,326678.0,13419.0
tottenham-hotspur,reading-fc,51.6032123,-0.0657389,51.42239319999999,-0.9826326000000001,80394.0,4928.0
tottenham-hotspur,watford-fc,51.6032123,-0.0657389,51.6502945,-0.4025551,32422.0,2482.0
tottenham-hotspur,stoke-city,51.6032123,-0.0657389,53.002668,-2.179404,254192.0,10291.0
tottenham-hotspur,hull-city,51.6032123,-0.0657389,53.7456709,-0.3367413,309162.0,13334.0
tottenham-hotspur,burnley-fc,51.6032123,-0.0657389,53.7890244,-2.2301736,380895.0,15374.0
tottenham-hotspur,blackpool-fc,51.6032123,-0.0657389,53.8048707,-3.0481407,384194.0,15317.0
tottenham-hotspur,swansea-city,51.6032123,-0.0657389,51.62144,-3.943645999999999,314329.0,13668.0
tottenham-hotspur,cardiff-city,51.6032123,-0.0657389,51.48158100000001,-3.17909,257210.0,11515.0
tottenham-hotspur,afc-bournemouth,51.6032123,-0.0657389,50.73523059999999,-1.8382791,188979.0,8318.0
tottenham-hotspur,huddersfield-town,51.6032123,-0.0657389,53.645792,-1.7850351,311205.0,13789.0
tottenham-hotspur,manchester-city,51.6032123,-0.0657389,53.4807593,-2.2426305,320842.0,13729.0
tottenham-hotspur,barnsley-fc,51.6032123,-0.0657389,53.551742,-1.468189,286471.0,11924.0
coventry-city,liverpool-fc,52.406822,-1.519693,53.4302084,-2.9621378,186609.0,8035.0
